unique Electoral Area,not unique electoral area,circle code
"Sheran Wala Gate
Panwan Mohalla // Kocha Mian Khair Din // Kocha Muhammad
Sadiq // Hawali Mian Sultan // Nadir Street // Androon Yaki Gate", ,1852201
"Kocha Qazi Allah Dad // Mohalla Nogaran
Sheran Wala Gate // Mohalla Khizari
Androon Sheran Wala Gate // Choona Mandi // Mohalla Khizari Androon Sheran Wala
Gate",  / Choona Mandi,1852202
"Landa Bazar // Nolakha Bazar // Kuttri Bhowan Das /
Landa Bazar // Railway Colony",  / Landa Bazar,1852203
Landa Bazar // Saraye Sultan // Railway Road,  / Landa Bazar / Railway Road,1852204
Rehman Galian // Brandrith Road, ,1852205
"Sadiq Gunj Missri Shah // Farooq Gunj Missri Shah // Iqbal Park Farooq Gunj // Shareef Abad Missri
Shah // Manzoor Abad Missri
Shah", ,1852301
"Aziz Park Missri Shah // Karm Park Missri Shah // Raheem Road Missri
Shah // Aziz Road Missri Shah // Aziz Road Missri Shah Allah Bukhus Road", ,1852302
"Gali No.1 Aziz Road
Missri Shah // Nawab Colony Missri
Shah", ,1852303
"Missri Shah Nawab
Colony // Missri Shah Faiz Bagh // New ilahi Park Aziz Road
Missri Shah // Cha Miran Road Kacho
pura // Faiz Bagh Missri Shah // Faiz Bagh Missri Shah
Gali No.17", ,1852401
"Faiz Bagh Mohalla Khair
Din Missri Shah // Faiz Bagh Domorya Pul // Main Bazar Faiz Bagh // Faiz Bagh",  / Faiz Bagh,1852402
Faiz Bagh,  / Faiz Bagh,1852403
"Mehar Park Wassan
Pura // Fazal Park Wassan Pura // Sadiq Gunj Wassan Pura // ilahi Park // Muhammadi Mohalla
Wassan Pura // Umer Din Wassan Pura // Umer Din Road Rajpoot Road Wassan Pura","  / Muhammadi Mohalla
Wassan Pura",1852501
"Kashmiri Mohalla Wassan Pura // Wassan Pura // Muhammadi Mohalla
Wassan Pura // Wassan Pura Mehboob
Park","  / Muhammadi Mohalla
Wassan Pura",1852502
"Block-D Shad Bagh // Block-G Block-Z Akram Park Ghulam Hussain
park // Ghulam Hussain Park
Shad Bagh // Shad Bagh",  / Shad Bagh,1852601
"Kacha Raheem Road
Shad Bagh // Gulshan Park, Zahoor
Park // Javed Park Shad Bagh // Block-A Shad Bagh", ,1852602
"Shad Bagh // Block-A,B Shadbagh // Tajpura Nazim Abad
Shad Bagh // Tajpura Nazim Abad // Haider Park Tajpura // Tajpura Shad Bagh // Block-C Shad Bagh",  / Shad Bagh,1852603
"Muhammadi Mohalla
Wassan Pura // Muhammadi Mohalla
Tajpura Road","  / Muhammadi Mohalla
Wassan Pura",1852604
"Mohalla Sultan Pura Cha
Mirran // Noor Street Cha Mirran // Haideri Mohalla Cha
Mirran // Kocha Muhammadi Darbar Mirran Hussain // Cha Miran Rahmania
Masjid // Ahata Bibi Cha Mirran // Mohallla Sultan Pura
Cha Mirran // Saleem Park Cha Mirran","  / Mohalla Sultan Pura Cha
Mirran",1852701
"Mohalla Sultan Pura Cha
Mirran // Shaheen Park Sultan
Pura // Ahata Bibi Shaheen park // Shaheen park Chowk
Ghoray Shah // Kocha Muhammadi Main Bazar Sultan Pura // Sultan Pura Road // Tazab Ahata Cha Mirran","  / Mohalla Sultan Pura Cha
Mirran",1852702
"Kacho Pura Missri Shah // Aziz Road Cha Mirran // Punj Peer Cha Mirran // Saeed Park Cha Mirran
Missri Shan",  / Kacho Pura Missri Shah,1852801
"Kacho Pura Missri Shah // Pak Nagar Kacho Missri
Shah // Pak Nagar Missri Shah // Pak Nagar Akram Road
Missri Shah // Salan Pura Missri Shah // Bukhas Ram Sultan Pura",  / Kacho Pura Missri Shah,1852802
"Sultan Pura Tayzab
Ahata // Sultan Pura Road
Tayzab Ahata // Jinnah park Sultan Pura // Peeli Kothi Tayzab
Ahata Jinnah Park // Sowami Nagar Tayzab
Ahata", ,1852901
"Railway Station,
Ghoshat Market // D.S Office Bogi Road // Victoria Road Near
Shazo Liboratary // Domoria Pul Ghja Peer", ,1852902
"Sawami Nagar Tayzab Ahata Ghoray Shah // Tiba Azeem Shah
Ghoray Shah Road Cha Mirran // Tiba Azeem Shah Road Cha Mirran // Dilawar Road Hassan Park Ghoray Shah // Bilal park Cha Mirran Kot Khawaja Saeed // Bahar Colony Bilal Park Cha Mirran", ,1853001
"Bilal Street Cha Mirran // Ibrahim Street Cha
Mirran // Mohalla Jani Shah Cha
Mirran // Yahya Street Cha Mirran // Abdullah Park Cha
Mirran // Abdullah Park Makhan
Pura // Itifaq Street Cha Mirran", ,1853101
"Bagdad Street Makhan
Pura // Makhan Pura New Shad
Bagh // Khair Din Park New
Shad Bagh // Ayoub Road Shad Bagh", ,1853102
"Darbar Hazoori Shah
Cha Mirran // Lahori Mohalla Cha
Mirran // Badar Street Lahori
Mohalla Cha Mirran // New Bilal Park Cha
Mirran // Dilawar Road New Bilal
Park Cha Mirran // Ghondi Peer Cha Mirran // Dhobi Ghat Cha Mirran", ,1853201
"Islam Pura Makhan Pura // Hussain Park Makhan
Pura // Nawan Mohalla Cha
Mirran // Makhan Pura Mohalla
Cha Mirran // X-Block Scheme No.2
Cha Mirran // Scheme no.2 Cha
Mirran // Scheme No.2 Cha
Mirran", ,1853202
Tubewell Akram Park // Madina Masjid Ashraf park New Shad Bagh // Ghosia Street Jhangir Park // Nadeemi Chowk New Shad Bagh // Gulzar Nabi Chowk New Shad Bagh // Ghazi Park Near Nadeemi Chowk // Ghazi Park Mohalla Siraj Park, ,1853301
"Shad Bagh Scheme No.2 // Block-D Shad Bagh Scheme No.2 Sher Shah
Road // Block-Z Shad Bagh Scheme No.2 Sher Shah
Road // Block-Z Shad Bagh
Scheme No.2 Sher Shah Road", ,1853302
"Akram Park Shad Bagh // Akram Park Abu Bakkar Road Shad Bagh // Chirag Colony Shad Bagh // Sher Shah Road Tokay
Wala Chowk // Jhangir Park Taya Ji
Chowk Shad Bagh", ,1853303
"Bhamia Shad Bagh // Haider Shah Park
Bhamia // Bhamia Band Road // Bhamia Band Road Ghuggian", ,1853401
"Jodha Ghuggian // Jodha Ghuggian Band
Road // Jodha Ghuggian Cha
Mirran", ,1853402
Iqbal Park Shad Bagh // Fazal Park // Fazal Park Shad Bagh // Ghulam Hussain Park,  / Fazal Park,1853501
"Shad Bagh Hafeez Street // Choudhary Park // Amam Buksh Park Shad
Bagh // Malik Park Shad Bagh // Azeem Park Shad Bagh", ,1853502
"ilahi Buksh Park- Siraj
Din Park // Akram Park // Azeem Park Amir Road // Chirag Colony", ,1853503
"Hamad Colony // Rafiq Park New Shad Bagh // Rafiq Park Raheem Park
New Shad Bagh", ,1853504
"Rajpoot Park / Fazal
Park No.1 Shad Bagh // Shah Din Park // Fazal Park No.2 Masjid
Fazal Rabi // Peer Ronqi Fazal Park
No.2 // Peer Ronqi Shah Din Park No.2 // Bilal Park, Peer Ronqi Park Shad Bagh // Bilal Park Amir Road
Shad Bagh", ,1853601
"Sajjad Colony Amir Road Shad Bagh // Amir Road Taj Park Shad
Bagh // Taj Ghazi Park Amir
Road Shad Bagh // Haji Park Dilshad Colony Shad Bagh // Haji Park Mehboob Chowk Amir Road", ,1853602
"Shaheen Park Bhagat
Pura // Bhagat Pura Shad Bagh // Afzal Town Bhagat Pura // Malik Park Bhagat Pura // Lala Zar Colony Bhagat
Pura // Lala Zar Colony Majeed Park Afzal Road Bhagat
Pura // Sajjad Colony Amir Road
Shad Bagh", ,1853603
"Kalma Chowk Lala Zar
Colony // Alfateh Colony // Yasrab Colony // Gali No.1 Yasrab Colony
Bhagat Pura // Madina Colony Bhagat
Pura // Madina Colony Bhagat Pura // Chohan Colony",  / Yasrab Colony,1853604
Jilani Park // Jabar Park Sehbaz Raod // Muhammadi Park // Jabar Park Waseen Park Bhaghat pura // Khursheed Park Kalma Chok, ,1853605
"Shehbaz Road Hussain
Baksh Park // Shehbaz Road Baghat Pura // New Malik Park Bhabat Pura // Elahi Town Bhagat Pura // Block Elahi Town Bhagat
Pura-A // Block Elahi Town Bhagat
Pura-B // Sehbaz Road Baghat Pura // Block Elahi Town Bhagat Pura-B", ,1853606
"Islamabad Colony
Samanabad","  / Islamabad Colony
Samanabad",1853701
"Sadat Colony -
Samanabad // National Bank Colony -
Samanabad // Moon Colony Nadeem Shaheed Road
Samanabad // Islamabad Colony
Samanabad // Ghalib Colony Nadeem Shaheed Road
Samanabad // Zafar Colony Nadeem Shaheed Road
Samanabad","  / Islamabad Colony
Samanabad / Zafar Colony Nadeem Shaheed Road
Samanabad",1853702
"Saman Abad - 21 Akar
Scheme // New Mizang
Samanabad // Laal Quarters Punch
Road Samanabad // Block-N Samanabad // Block-N,F Samanabad // Ghulam Nabi Colony
Samanabad",  / Block-N Samanabad,1853801
"Gulzab Colony
Samanabad // Muslim Colony
Samanabad // Justice Shareef Scheme
Samanabad // Jinnah Colony-Muslim Road Samanabad // Block-N Poonch Road
Samanabad // Bank Colony Bastami
Road","  / Block-N Poonch Road
Samanabad",1853802
"Block-N Samanabad // Block-N Poonch Road
Samanabad // Shah Faisal Road Paki
Thathi Samanabad // Bastami Road","  / Block-N Poonch Road
Samanabad / Block-N Samanabad",1853803
"Block-N Ghazali Road
Samanabad // Bagh Pati Samanabad // Ali Park New
Samanabad // New Mizang // Rasool Park Samanabad // Jhangir Park",  / Jhangir Park,1853804
