unique Electoral Area,not unique electoral area,circle code
"Gulshan Colony Jaggia'n
Naghra // Gulshan Colony Jaggia'n
Shahab Din // Kot Kamboh Khurd
Bakar Mandi // Bakar Mandi Kot
Kamboh // Block-C Sabzazar // Kot Kamboh Khurd Bakar Mandi","  / Block-C Sabzazar / Kot Kamboh Khurd
Bakar Mandi",1855810
"Kot Kamboh Khurd
Bakar Mandi // Block-B Sabzazar // Jaggia'n Naghra // Block-C Sabzazar","  / Block-B Sabzazar / Block-C Sabzazar / Jaggia'n Naghra / Kot Kamboh Khurd
Bakar Mandi",1855811
"Madina Colony Kharak // New Madina Colony
Kharak // Haider Park Dobin Pura // Haider Park - Hasan
Town Multan Road // Shehbaz Park Dobin
Pura",  / Madina Colony Kharak,1855901
"Sadaqat Park Dobin
Pura // Mustafa Park Dobin
Pura // Habib Park Dobin Pura", ,1855902
"Ravi Colony // Marzi Pura // Marzi Pura Cha Jamu
Wala // Dhobi Ghat // Muhammadia Colony // Charag Park",  / Muhammadia Colony,1856001
Kasour Pura // Feroz Pura Kasour Pura,  / Kasour Pura,1856002
"Mali Pura Band Road // Mali Pura Kasour Pura // Kasour Pura // Ameen Colony Kareem
Park",  / Kasour Pura,1856003
"Kasour Pura // Main Bazar Kasour Pura // Kacha Ravi Road Kasour
Pura // Mohalla Smadhi
Ghangaram",  / Kasour Pura,1856004
"Kacha Ravi Road Azadi Chowk // Bagh Munshi Lidha // Kacha Ravi Road Azadi
Chowk // Itihad Colony Bagh
Munshi Lidha", ,1856101
"Mohni Road Araiyan
Block // Mohni Road // Peer Maki Mohni Road // Peer Maki Ravi Road", ,1856102
"Kareem Park Block No.3 // Kareem Park Block No.4 // Bilal Gunj Chowk
Hussain Shah Ara // Kardar Park Mohni Road",  / Kareem Park Block No.3,1856103
Kareem Park Ravi Road // Kareem Park Block No.2 // Kareem Park Block No.3,  / Kareem Park Block No.3,1856104
"Chirag Park // Mali Pura Ameen Park // Ameen Park // Ameen Park Choudary
Park // Choudary Park Khalid
Park // Khalid Park Khakhar
Town // Khalid Park khokhar
town","  / Ameen Park / Khalid Park khokhar
town",1856201
Karim park block No.1 // Lateef park // Karim Park mali pura // Lateef pakr Mali pura // Mali pura bund road // Main Bazar karim park, ,1856202
"Ameen Park // kasur pura ameen park // Ameen park street No4-
7 // Ameen park street No.4-
9 // karim park block no.4",  / Ameen Park,1856203
Khokhar town burn road // Chaudhary park,  / Chaudhary park,1856204
"Data Darbar Mohni road // Muhallah Salamat pura // Salamat Park mohni
road // Sheesh mahal Road\", ,1856301
"Hajveri Data Darbar // Ibraheem road // islam street // T.B Hospital // Sheesh Mahal street
No1-3 // Sheesh Mahal street
No4-6 // Sheesh Mahal street
No6-8","  / Ibraheem road / Sheesh Mahal street
No6-8",1856302
"Sheesh Mahal street
No6-8 // Ameer Raod bilal gunj // Hassan park Bilal gunj // Malik Park bilal gunj // islam gunj malik park // Nadeem street Malik
park // Malik Park bilal // Sheesh mahal street
No.6-8","  / Malik Park bilal gunj / Sheesh Mahal street
No6-8",1856303
"Gunj kalan malik park // Quaid street // Bilal gunj Malik park // Ibraheem road // Alyas park Ibraheem
road",  / Ibraheem road,1856304
Ravi Road // Ameen Park // Chaudhary park // Rashid road,  / Ameen Park / Chaudhary park / Rashid road,1856401
Nasir park // Chaudhary park // Nasir park toheed abad // Rashid road,  / Chaudhary park / Rashid road,1856402
"Khalid Park khokhar
town // Shafiq Abad // Gulshan Riaz colony // Mughal park // Khalid town","  / Khalid Park khokhar
town",1856403
"Malik Park bilal gunj // Ibraheem road bilal bunj // Mola Bakish chowk
ibraheem // Islam gunj Ibraheem
Road // Alhabeeb Park",  / Malik Park bilal gunj,1856501
"Mola Bakish chowk // Toheed nagar // Kacha rasheed road // voternary University // Breadly Hall Rettigan
Road", ,1856502
"Main Bazar Data Darbar // Lower Mall outside
Bhatti gate // Qadafi Stadium // Takia Beriyan wala // Qadafi Street // Machli Mandi", ,1856503
"capital park / paisa
Akhbar // Gunpt road", ,1856504
Paisa Akhbar // New Anaar kali // Old campus // Aabkari Road\, ,1856505
Aybak road // Ibraheem Street // Raja am street // Bheem Street // Muhallah Deputy gopal Das / Nepair Road // Bank Isqawair, ,1856506
Circle Road // Shah Almi chowk // Bansawala Bazar, ,1856507
"Charag Market Paki
thathi samanabad // Bilal Park Paki Thathi
Samanabad // Karam Abad Pakit thathi
samanabad // Muhallah Bloor Shah paki thathi samanabad // Millat Park Paki thathi
samanabad // Rangeela Street paki
thati samanabad", ,1856601
"Shareef Park Paki thathi
samanabad // Bait ul Raza colony
almumtaz road // Shareef park , Ithaad
colony // Ithaad colony paki
thathi samanbad // Sheraaz Park", ,1856602
"Ithaad Colony
samanbad // Chah jany wala paki
thathi // Jahanzaib block Allama
block town", ,1856603
"Muhallah Karma Abad ,
Samanabad // Saadat Colony ,
samanabad // Satluj block allama block
Town", ,1856604
Punch house colony // Choberji Quarters // Junk Nagar samanbad // Islamia park Arya Nagar, ,1856701
"Islamia Park Samanabad // New Islamia Park // Bhag gul bagum Fatah
Shair Road // Ismalia park samanbad", ,1856702
"Bahawalpur House GoR-
2 // Kacha Ferozpur Road // Baghgul Bagum Fatah
Shair raod",  / Kacha Ferozpur Road,1856703
"Chirya Ghar colony // Coins Road Mazang // Mohsin Road // Waris Raod // Waris raod Qarters
Mazang // Kacha Lawrance road // Waris Road // Kacha jail Road // Wapda quarters
lawrance Road", ,1856801
"Punj Mahal Road
mazang // Ganga Ram", ,1856802
Governor House // Wapda House // Aybat Road Coper Road // Baiden Road // Hall raod // Mashin Road // Gahndi Seqwair // Karishna Ghali // Guro Arjan nagar // Taj company,  / Aybat Road Coper Road / Governor House,1856803
"Patyala House GoR1 // Muhalla Shamas Qadari
GOR1 // Galf road Shadman
Gor1 // Shanan Road GOR1", ,1856804
"Lake Road Muslim Gunj
Mazang // Muslim Gunj , Baigum
road // Baigum Road mazang // Fane Road family
Hospital // Mubarik pura taj pura", ,1856901
"Safanwala chowk
Temple Raod // Ihiata Din Kucha
Ghulam Muhammad // Main Bazar Mazang // Gurdwara Mazang // Main Bazar Mazang-Haji
Lal Din Street // Main bazar Mazang-
Kucha Mehr Ghulama // Tample Road Park Lane.", ,1856902
"Qureshi Mohalla
Mazang // Muslim Ganj Bahawal Sher Road Janaz Gahh // Noor Shah Road // Qila Murad Baksh
Mazang", ,1857001
"Mola Baksh Road // Kot Abdullah Mola
Baksh Road // Kot Abdullah Mola Baksh Road // Kot Abdullah Shah
Mazang // Chah Pachwara Mazang // Kucha Hari Shah Chah Pachwara Mazang // Chargh Din Road Takia Sardar Shah Mazang",  / Chah Pachwara Mazang,1857002
"Haji Lal Din Street Asuad Street // Charag Din Road // Jalal Din Road Mazang // Shahdab Colony Waris Road // Lytton Road, Tample Road. // Shadab Colony waris road", ,1857003
"Chah Pachwara Mazang // Bahawal Sahir Road
choberji // Saadi park mazang",  / Chah Pachwara Mazang,1857004
Burhaman Abad // Berhaman Abad // Gooband Pur // Burka Kalan, ,1860101
"Barki Muhallah Koyan // Barki Muhallah. // Barki Government
School // Barki // Barki Koheryan // Bar Ka Khurd", ,1860102
Dev Sani // Khar Maliyan, ,1860103
Dhalwan // Jhaliyan, ,1860104
Gheenay // Opal, ,1860105
"Hadyara Muhallah
Arayan // Hidyara Muhallah
Araiyan Main Bazar // Hidyara Muhallah
Araiyan Esayan // Hidyara Boher wali
Masjid // Hidyara Muhallah Awan // Hidyara // Hidyaran Jattan // Hidyara Basti Jan
Muhammad", ,1860106
"Koheriya Meowati
Muhallah // Koheriya Malik
Muhallah // Koheriya Gujjar
Muhallah", ,1860107
Lalwa // Dheerkay, ,1860108
Karankay // Mojokay chak Danokay, ,1860109
"Phadhana Gharki // Phadhana // Muhallah Baabywal // Muhallah Main Bazar
Amam Bargah // Phadhana Muhallah
Jattan DA", ,1860110
Pathankay // The Sija Mirja // Rakh Herdut Singh, ,1860111
Ram Pura Kalan // Ram Pura Khurd, ,1860112
Moya Kalan // Moya Khurd // Chaneeko Mondi, ,1860113
"Bhangali // Bay Dag, Jalal Abad", ,1860201
Chak Dheera, ,1860202
Nai Abadi Class Mari // Class Mari,  / Class Mari,1860203
Dhori // Mandyala, ,1860204
Fatah Jhung Sing wala // Lehna Singh Wala, ,1860205
Hassan Abad // Khushal singh Wala, ,1860206
Rakh Bhangali, ,1860207
Pudri // Rakh Padri, ,1860208
Phularwan // Phulrwan // Dogran Khurd, ,1860209
Rakh Teda // Rakh Teda Berhaman // Terda, ,1860210
Gaga, ,1860301
Hair ( Ahmadi colony) // Hair ( Meeran town ) // Hair ( Khandyanwala) // Hair ( Sabzi wala pul) // Hair // Hair ( Fareed Kot) // Hair ( Badian road) // Hair ( Khandyala) // Hair ( Saddique town) // Hair ( Wara Jattan), ,1860302
Harpalkay // Roadanwala // Dhaloky,  / Dhaloky,1860303
Karbath // karbath, ,1860304
Lidher, ,1860305
Titlay // Malkhoki, ,1860306
Natha singh wala // Mota singh wala // Class Mari,  / Class Mari,1860307
Noor Pur, ,1860308
Dara Chahil // Rakh Dara Chahil // Sangat pura, ,1860309
Thather, ,1860310
Aasil Karogy, ,1860401
Baho Bholy // Aahiloo // Chak Aahiloo, ,1860402
Dhaloky // Dhaloke,  / Dhaloky,1860403
Ghond, ,1860404
Ghondi, ,1860405
Jhamin // Rakh Banikat, ,1860406
Lakhoky // Keerka // Baduwar, ,1860407
Raja Bhola // Guru Mangat Nau Abad, ,1860408
Road Nepal Bohigen, ,1860409
Soora, ,1860410
Thatha Khurd // Maliyan // Dhala // Rakh, ,1860411
"Nai Abadi Ghari Shahu Street No 38-40 // Badar Street, Fazal Street Lawraks Colony // Lawraks Colony, Street
No.3-4 // Fazal Street Ghugian,
yasin Tajamal Park // Survay colony, lawaraks Colony Street No.1-2-3 // Meeran Baksh Amam
Street No 43 // Ahmadi Ebadat Gah, main Allama Iqbal road // Babar Street, umer
street 30-31-32-33", ,1860501
"Masjid Tajdeen Layrics
Colony // Level Crossing, Canal
Bank // Baja Line","  / Baja Line / Level Crossing, Canal
Bank / Masjid Tajdeen Layrics
Colony",1860502
"Ahata Makhan Sigh,
Mustafabad // Madni Road Mustafabad street NO-6 // Canal colony ,
Mustafabad // Madni Road Dharam
Pura street No-6 // Mustafabad // Mustafabad street
No.23-24-29-30-32 // Madni road Allama Iqbal road, Street No 6
Mustafabad", ,1860503
"Muslim park Allama
Abad // Shadab colony allama
iqbal road // Meo Garden near
Echisun College // Echisun College , Zaman
park", ,1860504
"Mustafabad street // Mustafabad , Allama
Iqbal Road // Dharam Pura Infentory
road // Dharam Pura
Mustafabad // Militory Accounts
colony // E.M.E Qwarters street
No 62-63", ,1860601
"Sray Ataa Muhammad , Mustafabad // Umer colony , Nusrat
colony // Mian meer infentory
road , Mustafabad // Mustafabad, Mian Meer
Darbar // Dharam Pura ,
Mustafabad // Mian Meer road uper
mall // Mian Meer pind // Mina meer Pind, Khawaja Bahar colony // Mian Meer Pind,
Railway Line", ,1860602
"Sctoch Corner Upper
mall // Scoth Corner Zafar Ali
road Gulberg // Skandir Road upper Mall // Basti Syden shah, Upper mall annand road // Basti Syden Shah,
Wazeer Ali Road // Annand Road, Basti
Syden Shah // Basti Syden Shah colony, wazeer ali road // Basti Syden Shah Syden shah upper mall // Basti Syden Shah, upper mall road Khizar road // Annand Road Basti
syden shah // Basti Syden Shah, upper mall road , khizar road", ,1860701
"Gulstan colony /
Mustafabad // Gulstan colony / Mustafabad Gool chakar // Gulstan colony No 16
Mustafabad", ,1860801
"Mustafabad Dharam pura // Mustafabad main road
Dharam pura // Haq Char Yar Gulstan
Colony // Mustafabad Dharam
pura", ,1860802
"Beron Choobacha
Mustafabad // Androon Choobacha
Mustafabad // Qadafi Word Gulstan Colony // Mustafabad scheme
No.1 // William Quarters Mustafabad","  / Beron Choobacha
Mustafabad",1860803
"Beron Choobacha
Mustafabad // Bostran colony // Rehmat Colony // Gulstan colony /
Rahmat colony // Gulstan colony /
Rmahat colony // Gulstan Colony /
Mustafabad // Dry Airport","  / Beron Choobacha
Mustafabad",1860804
"Zafar Ali road , Azeez Avenue civil Services
academy // Qurban line , Iqbal
colony , gulberg // Qurban line, kachi abadi // Zafar Ali road , Azeez
Avenue civil Services academy", ,1860901
"Nabi pura Two gulberg 3
2 // Ithaad colony gulberg 3 // Nasir Colony gulberg 2",  / Ithaad colony gulberg 3,1861001
"A-one Nabi Pura gulberg
3 // A-one Nabi Pura gulberg 4 // Akram Park
Guromangat // Akram Park
Guromangat 3 // A-Two Ghalib Market
gulberg 3 // A-One , Nabi Pura
Gulberg 3", ,1861002
"B-1 Gulberg 3 // B-2 Gulberg 3 // B-2 Audit Colony
gulberg // C-1, C-2, gulberg 3 // T-P block Guberg 2", ,1861101
Block C-E gulberg 3 // B-3 Gulberg 3 // A-3 gulberg 3, ,1861102
"Makkah Colony block-1
Gulberg 3 // Makkah Colony block-2
Gulberg 3 // Makkah Colony block-3
Gulberg 3 // Makkah colony , gulberg
3 // Makkah colony Street
No.17-18 // Makkah colony Street
No.19-22", ,1861201
"Model colony , Makkah
colony // Model colony , Makkah colony Gulberg 3 // Makkah colony gulberg // J-Block gulberg 3 // B-J-K Block Gulberg 3 // Ithaad Colony // Ithaad colony gulberg 3",  / Ithaad Colony / Ithaad colony gulberg 3,1861202
"Mustafabad Purana
Dharam pura // Habibia Colony Purana
Dharam Pura // Tariq Colony Mustafabad Purana
Dharam Pura // Maqbool park Tariq
Colony Mustafabad // Ahata Beli Ram Dry Por
Mughal pura // Ahata Semyoran Singh Dry Port Mughalpura", ,1870101
"Ghulam Ahmed Park,
Muhallah Eid Gah Dhobi Ghat // Noorani Mohalla // Digi Mohalla President
Bazaar // Digi Mohalla Server
Road", ,1870102
"Dhobi Ghat / Ghazi
colony // Bazar Mohalla Sadar
Bazaar // Bazar Mohalla Sadar Bazar / Sadar Mohalla // Bazar Mohalla / Server
Road // Bazar Mohalla Delhi
Road", ,1870103
"Sager Road Sadar Bazar // Kharas Muhallah Sadar
Bazar // Kharas Muhallah / Tofail road / Dehli road // Kharas Muhallah Shahzadi Market Sarwar
Road", ,1870104
"Donger Muhallah
Ameer Road // Donger Muhallah Ameer  Block Lahore
Road // Donger Muhallah
Ameer  Block Sager Road // Donger Muhallah Sadar
Bazar", ,1870105
"Ayshwar Nagar Hussain
Pura // New officer colony // Shatter Muhallah // Qazi Mohalla", ,1870106
Old Officer Colony // Karachi Mohalla Sadar, ,1870107
"Subedar Colony // Khyber Colony // Khyber Colony /
Ghusiya Colony // Staff colony UET // Khyber Colony Zarar
Shaheed Road // Khyber Colony KA Zarar
Shaheed Road",  / Staff colony UET,1870108
"Officer Colony PAF // Colony PAF Zarar
Shaheed Colony // Officer Colony PAF Zarar Shaheed Colony // Muhalla Ghousia Colony
Ghazi Road // Khyber Colony Kachi
Abadi", ,1870109
"Delhi Road / Sarfraz
Rafiqi Road // Tufail Road / 116 Sarfraz
Rafiqi Road // Tufail Road / T & T
Colony // Tufail Road Wireless
Compound // Delhi Road Ahata
Kashwari", ,1870201
"Server Road Habib Road // Server Colony Server
Road // Lal Kurti CMH // Basti Esaiyan Lal Kurti // Quarters CMH Lal Kurti", ,1870202
"Mughal Charless line Shami Road ( Mian
Meer Colony) // Mian Meer colony Mustafabad // Millat park Mian Meer
Colony // Haji Building Mian Meer
Colony // Haq Baho Road Mian
Meer Colony // Ghosia Masjid Mian
Meer colony", ,1870203
Askari 10 Sector B // Askari 10 Sector C,  / Askari 10 Sector C,1870301
Askari 10 Sector A // Askari 10 Sector C,  / Askari 10 Sector C,1870302
"Army Quarters Chitral
Line // Askari Villas Aziz Bhatti
Road // Military Dairy Farm
Surfraz Rafiqi Road", ,1870303
"Military 1 Sarfraz Rafiqi
Road // Sager Road // Quarters Ordination
Depu // Bay Charag Bahadur
Shah Road // Al Faisal Town C Block Bahadur Shah Road // Askari 1 Sarfraz Rafiqi
Road", ,1870304
"Muhallah Kotwali Sadar Bazar // Mohallah Bengali Sagar Road // Mohallahi Bengali Dehli Road // Gwalmandi Sadar
Bazaar // Loonyan Mandi // Gawalmandi Zarar
Shaheed Road", ,1870305
Military Dairy Farm 2 // Askari 9 Zaraar Shaheed Road // Alfaisal Town Jory Pul, ,1870306
Alao Din road // Saint jan road // Asad Jan Road // Colony CMA, ,1870401
"Abid majeed Road
Uthain Bazar // Nisar Colony // Abid Majeed Road
Ahata Sona Mill // Nisar Colony PAF Officer
Colony // Nisar Colony Sarver
Road // Tufail Road Girja Chowk", ,1870402
Burj colony // Askari Flates Burj colony // M.S.S Quarters // Bay Charag, ,1870403
Fatah Abad // Bari Wala Fatah Abad // Khan Colony, ,1870404
Hussain Abad,  / Hussain Abad,1870405
Hussain Abad // Qasim Pura,  / Hussain Abad / Qasim Pura,1870406
Qasim Pura,  / Qasim Pura,1870407
"Jinah Lane Sarfraz
Rafiqui Road // Akram Lane Azeez Bhatii
road // Charch Compound // Postal Colon Shair Khan
Road", ,1870501
"Muneer Road signal
center // Iqbal Camp PAF // College PAF // Haji Terminal",  / Iqbal Camp PAF,1870502
"Tufail Road // Arif Jan Road // Iqbal Camp PAF // Mazhar Line // New Mazhar line,
Sadaat line",  / Iqbal Camp PAF,1870503
"Nadirabad // Nadirabad Badian road // Nadirabad Arif Abad // Gulshan Ali Colony
Nadirabad // Gulshan Ali colony // Gulshan Ali Colony", ,1870504
"Ali Park Nadirabad // Edin Avenue Ghazi Road // Ali Park Ghazi Road // Eden Avenue Ghazi
Road", ,1870505
Arif Abad // Arif Abad Badian Road // Farooq Abad Badian Road // Arif Road, ,1870506
Dera Pindi // Malik Pura Bhatta Kohar // malik Pura // Air Avenue Phase-8 DHA, ,1870601
Shajpal // Shajpal Bhatta Kohar, ,1870602
Bawa Wala // Bawa Wala Main Bazar // Baoo Wala Caras Colony // Baoo Wala Darbar Khawaja Wali Road // Baoo Wala, ,1870603
"Baoo Wala Barki Road // Baoo Wala Barki Road
Main Bazar // Nalka Stap Baoo Wala // Drag Pura Chak Bhart Barki Road", ,1870604
"Moza Ghohawa Gulshan
Scheme // Tiba Ghohawa // Tiba Ghohawa Badian
Road", ,1870605
"Tiba Ghohawa Badian Road Masjid Bilal // Tiba Ghohawa Bhatta
Kohar Main Bazar // Tiba Ghohawa Bhatta
Kohar // Tiba Ghohawa Pind", ,1870606
"Airport Road Sehjpal
Chowk // Nayab Colony Bhatta
Chowk // Khuda Buksh Colony
Bhatta Chowk // Moza Bhatta Kohar Khuda Buksh Colony
Ghazi Road // Bhatta Kohar Badian
Road", ,1870701
Nai Abadi Ghohawa // Moza Ghohawa // Ghohawa Badian Road,  / Nai Abadi Ghohawa,1870702
"Haji Park Badian Road // Ghillar Colony Ghohawa // Nai Abadi Ghohawa
Badian Road // Mohalla Rehmat Pura
Badian Road", ,1870703
"Nai Abadi Ghohawa // Jowad Town Ghohawa Badian Road // Ismail Pura Ghohawa // Mohalla Manawala
Badian Road",  / Nai Abadi Ghohawa,1870704
"Juggian Alfa // Rakh Bangali // Bhatta Kohar Juggian
Alfa // Fazal Park Chacho Wali
Khurd Sharqi", ,1870705
"R-A Bazar Gali No.17-23 // R-A Bazar-40 // Army Quarter Ahmad Buksh Road R-A Bazar // Rohi Line Quarters Link Nashata Road R-A Bazar // Askari Colony Badian
Road // Bay Chirag", ,1880101
"Nishat Colony Gali No.1-
12 // Nishat Colony Gali No A-
Block // Nishat Colony Gali No B-
Block // Nishat Colony // Nishat Colony Gali
No.17,18",  / Nishat Colony,1880102
"Nishat Colony Gali No.8
NB Walas // Nishat Colony Block-C // Nishat Colony Gali No.C-
l Block // Nishat Colony Block-C-D // Nishat Colony Gali
No.2,3", ,1880103
"Nishat Colony D-Block
Gali No.3 // Nishat Colony D-Block
Gali No.4,5 // Nishat Colony D-Block
Gali No.6 // Nishat colony Street
No.4 // Nishat Colony Gali No.6 // Nishat Colony F-Block // Nishat Colony",  / Nishat Colony,1880104
Block-H Nishat Colony // Block-E Nishat Colony // Block J. Nishat Colony, ,1880105
"Maryam Nishat Colony // Maryum Nishat Colony Street No.5-7-10 // Maryam Nishat Colony
Gali No.4-11 // Maryam Nishat Colony Gali No.2-9,10 // Maryam Nishat Colony
Gali No.1-10", ,1880106
"Sultan Park Gali No.2-7 // Sultan Park Charch Wali
Gali // Gulbhar Colony // Gulbhar Colony Gali
No.5-8 // Gulbhar Colony Gali
No.1-4",  / Gulbhar Colony,1880201
Kavalari Ground, ,1880202
"kavalari Ground Army
Officers Colony // R-A Bazar // R-A Bazar Near
Dispensary", ,1880203
"Akram Abad Madina
colony // Madina Colony // Gulbhar Colony // Madina Colony Akram
Abad // Madina Colony Gali
No.1-5","  / Gulbhar Colony / Madina Colony / Madina Colony Akram
Abad",1880301
"Madina Colony // Madina Colony Akram
Abad // Sheraz Walas-ll Kavalari
Ground","  / Madina Colony / Madina Colony Akram
Abad",1880302
"Zaman Colony Officers
Colony // Kavalari Ground Officers
Colony // Kavalari Ground Officer Colony Ali Layn // Block-E Kavalari Ground Officer Colony", ,1880303
"Zaman Colony // Zaman Colony Islam
Nagar // Nishtar Park Islam
Nagar // Abid Road Islam Nagar // Sheikh Colony", ,1880304
"Sheraz Walas-lll // Madina Colony Gali
No.13 // Madina Colony Gali
No.13-16 // Sheikh Colony Ghosia
Colony // Farooq Chowk Madian colony // Ghosia Colony",  / Ghosia Colony,1880305
"Madina Colony Gali
No.14,15 // Madina Colony Gali
No.4,5 // Madina Colony Tipu
Sultan Street // Madina Colony Shaheen
Colony // Ghosia Colony Rehmat
Chowk // Ghosia Colony Shaheen
Colony // Shaheen colony
Academy Quarters", ,1880401
"Civil Service Academy
Quarters // Railway Officers Colony
Gali No.1,3 // Railway Officers Colony
Gali No.3,4 // Railway Officers Colony
A-Block", ,1880402
"Ghosia Colony Walton
Extension // Railway Staff Colony
Walton // Railway Officers Colony
Walton // Railway Officer Flat
Walton // Baab Pakistan Army Quarters Walton Road", ,1880403
"Payder Gill Colony LDA Quarters Walton Road // Army Quarter New Shah
Jamal Town // New Shah Jamal Town
LDA Quarters // Quarters LDA Block-B new Shah Jamal Town", ,1880404
"Quarters LDA Block-A new Shah Jamal Town // Quarters LDA New Shah
Jamal Town // Quarters LDA Block-A-B New Shah Jamal Town // Gulshan Colony Near
Packages Factory", ,1880405
"Falcon Colony // PAF Falcon Complex // PAF Falcon Colony
Gulberg 3 // Falcon Colony Gulberg 3", ,1880406
"Askari housing complex
Gulberg 3 // Askari Gulberg 3 // Askari-5, Gulberg 3 // Askari 5, Flates Gulberg-
3 // Cristian colony , Khan colony gulberg-3","  / Cristian colony , Khan colony gulberg-3",1880407
"Rajababad Badian Road // Keer Khurd Badian Road // Ali View Garden Badian
Road // Ali View Garden Masjid Abu Ayub Badian Road // Askari Colony Ali View park Badian Road","  / Ali View Garden Badian
Road",1880501
"Masjid Khizra Badian
Road // Ratal Catag Defence
Road Bhatta Chowk // Rehman Garden Bhatta
Chowk // Ali View Garden Badian
Road // Mohalla Bhattian Keer
Khurd // Peer Karm Shah Darber
Badian Road","  / Ali View Garden Badian
Road",1880502
"Keer Khurd // Karm Ali Shah Park // Gulshan Park Nishat
Colony // Phathano Wali Gali
Gulshan Park Nishat colony", ,1880503
"Block-P Phase-l Defence Housing Authority // Block M Phase 1 Defense Housing
Authority // Block-L Phase-l Defence Housing Authority", ,1880504
"Block-N Phase-l Defence Housing Authority // Block-N Phase-l Defence Housing Authority
Tubewell // Block-N Phase-l Defence Housing Authority Street.113-138 // Block-P Phase-l Defence Housing Authority Park Wali Masjid", ,1880505
Block-E Phase-l Defence Housing Authority Masjid Allah O Akbar // Block-J Phase-l Defence Housing Authority Masjid Allah O Akbar Janoobi Area // Block-K Phase-l Defence Housing Authority Masjid Allah O Akbar Janoobi Area, ,1880506
"Qadria Colony Gali
No.1,2 // Peer Colony Gali No.1 // Peer Colony",  / Peer Colony,1880601
"Qadria Colony-1 // Qadria Colony Khilafat Rashida Street // Qadria Colony Peer
Colony // Peer Colony // Peer Colony Near City
Homes // Peer colony Gali No.3,4",  / Peer Colony,1880602
Qadria Colony No.1 // Yasrab Colony // Shakeel Park,  / Yasrab Colony,1880603
"Qadria Colony Bilal
Street // Qadria Colony Ali Street Abu Bakkar Street // Mohalla Nabardara
Koray Pind // Mohalla Sheikha Koray
Pind", ,1880604
"Fancy Park // Koray Pind Walton // Shah Taj Colony Walton
Road // Mohalla Noor Islam
Koray Pind", ,1880605
"Mohalla Sheikha New
Iqbal park // New Iqbal Park // Eden Catage New Iqbal
Park // Eden Catage New Iqbal
Park Phase-ll // Fort Walas Gulshan Views New Iqbal Park", ,1880606
"New Super Town Army Housing Scheme // Ghazni Layn New Super
Town // Super Town Old // Super Town Iqbal Park", ,1880607
"Block-C Defence
Housing Authority // Block-B Defence
Housing Authority // Iqbal Park", ,1880608
Block-A DHA Phase-l // Block-A Dha // Block-D DHA Phase-l, ,1880609
"XX Defence Block Phase- lll Bark School Center
DHA Lahore // XX Defence Block Phase- lll DHA Water Tank // XX Defence Block Phase- lll DHA Ghanda Chowk Lahore // X Block Phase-lll DHA
Lahore // X Block Ghazi Road
Lahore", ,1880701
"Y-Block DHA Lahore // Block-Y // Block-Y Phase-lll -
Commercial Area DHA Lahore // Block-Y Bacon House
DHA Walton Cantt", ,1880702
"W-Block DHA Lahore // Block-W Phase-lll DHA Water Wali Tanki // Block-W Phase-lll - Jamian Masjid DHA
Lahore // Block W Phase 3
Commercial Area DHA Lahore // Block W Phase 3 Commercial Area DHA
Lahore", ,1880703
"Block-Z Phase-lll DHA
Lahore // Block-Z Phase-lll Commercial Area DHA
Lahore // Block Z Phase DHA 3 Security Office DHA
Lahore // Block-Z Phase-lll DHA Check Post DHA Lahore", ,1880704
"Mohalla Modian Charar
Sabir Clink // Mohalla Malika Charar Rana Hospital, Sabir
Clink // Mudhi Put Charrar Elementary school, chowk Modian Charrar // Mudhi Put Charar", ,1880705
"Chaki Wala Mohalla
Moza Charar // Rehmani Masjid Gali
No.1,2,3 Moza Charar // Darbar Shareef Mohalla
Charar // Babu Pan Shop Charar // Kamhara'n Wala Chowk
Charar // Educator School Charar", ,1880706
"Peer Colony Gali No.4 // Peer Colony Gali No.4,5 // Peer Colony // Peer Colony Gali No.6,7 // Peer Colony Gali No.7",  / Peer Colony,1880801
Peer Colony // Model Colony No.1 // Model Colony No.2 // Model Colony No.1-2,  / Model Colony No.2 / Peer Colony,1880802
"Farooq Colony // Farooq Colony Gali No.1 // Al Noor Town Farooq
Colony", ,1880803
"Model Town No. 1
street No 1-5 // Model Town No.2 // Model Town No. 2 // Model Town Usmania
Mohalla // Model Town Usmania Mohalla // Model Town No. 1
street No. 1-5", ,1880804
"Al Noor Town Gali No.1-
5 // Al Noor Town // Main Bazar Al Noor
Town",  / Al Noor Town,1880805
"Model Colony Al Noor
Town // Bilal Colony // Al Noor Town",  / Al Noor Town / Bilal Colony,1880806
"Mohalla Sanat Jan
Model Colony // Usmania Model Colony
No.2 // Model Colony No.2",  / Model Colony No.2,1880807
"Gulstan Colony Chota Qabristan Wala Block // Gulstan Colony Qanchi
Amar Siddhu // Muhammad Pura
Gulstan Colony // Paraso Colony Amar
Siddhu // Gulstan Colony Gali
No.5 // Gulstan Colony Gali
No.7,8,9 // Main Road Qanchi Amar
Sidhhu", ,1880901
"Main Faroz Pur Road
Gulstan Colony // Gulstan Colony Gali
No.1 // Main Ghazi Road
Gulstan Colony // Ghulstan Colony Gali
No.2", ,1880902
"Ghosia Masjid Ghulstan
Colony // Haideri Masjid Ghulstan
Colony // Dachi Wala Khoo // Malik Chowk Ghulstan
Colony", ,1880903
Manawar Abad // Ameen Park Ghazi Road // Nazir Park // Shahid Town // Shahid Town CNG Pump, ,1880904
