charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
26025,63435,33209,30219,7,56.94,42.86,8196,6766,2,3227,3128,,408,455,1,61419,2016,45868,34610,2758,17441,25733,58.45,59.79,13161,9024
26026,60065,31622,28421,22,71.84,50,8089,6319,4,5198,4984,6,1397,1756,,55839,4226,45101,35059,2983,17214,27976,73.24,74.5,15038,11587
26027,94025,48674,45329,22,73.52,40.91,12688,10485,7,9092,9182,2,2595,2993,,90588,3437,70613,55114,4942,24756,45475,74.31,75.06,26848,20278
26028,70830,36559,34249,22,82.08,68.18,10290,8373,3,8417,8287,8,2357,2879,,70377,453,53768,42557,3659,15262,35259,83.08,84.03,15086,11558
26029,42770,22170,20592,8,77.16,37.5,6345,5096,1,4663,4493,,1117,1316,,42485,285,32061,25475,2262,10825,20786,78.46,79.68,11369,8334
26030,63173,32159,31007,7,87.36,42.86,7639,6528,2,8986,8598,,4246,4573,1,62750,423,49148,39433,4142,14753,35041,88.53,89.67,16541,13701
26031,61668,31649,30005,14,84.72,42.86,8544,7025,1,8161,7558,4,3086,3512,,60603,1065,47406,37774,3821,12591,32559,86.41,88.03,14031,11531
26032,106813,54654,52127,32,82.54,59.38,14189,12234,3,13056,12416,9,5296,5464,2,105463,1350,81768,64393,6250,24911,56495,84.02,85.45,26420,21205
26033,123502,64281,59204,17,68.54,76.47,17062,13826,8,11158,9824,4,3053,3122,,114145,9357,91962,70384,5547,31166,57400,71.25,73.73,20131,14529
26034,59241,32044,27189,8,81.62,12.5,7842,6304,,9673,6514,,3005,2627,,57680,1561,45916,36859,3146,18851,33065,85,87.81,11547,9780
26035,56786,28955,27828,3,79.7,33.33,7843,6531,1,6759,6756,,1978,2190,,56421,365,43306,34198,3550,12615,28414,81.58,83.42,17151,13191
26036,35797,18358,17439, ,77.06,,5348,4473,,3724,3892,,814,895,,35733,64,27538,21548,1968,10211,17624,78.43,79.73,12864,9798
26037,42189,22304,19877,8,85.77,62.5,5698,4342,4,6807,5899,,2700,2780,,39629,2560,34016,27492,3065,13427,24575,86.84,87.78,13490,11625
26038,25835,13649,12176,10,88.75,80,3864,2790,1,3883,3778,2,1418,1529,1,25131,704,21043,17138,1778,8181,15495,88.9,89.05,9349,7908
26039,20058,10762,9291,5,80.08,,2997,2324,,2222,2063,,559,680,,18638,1420,15691,12583,1164,6617,10405,79.66,79.35,6723,5146
26040,29828,15553,14272,3,85.56,100,4481,3605,2,4034,4080,1,1053,1281,,28876,952,23928,19240,2087,8981,16301,84.95,84.39,10877,8577
26101,264163,140777,123354,32,71.35,53.13,32209,23312,7,26768,21733,6,17784,15086,1,248878,15285,202600,159971,14703,73602,139662,75.45,78.96,41248,29878
26102,151827,80082,71720,25,52.46,24,20075,14452,2,9883,6515,2,1586,1368,,141420,10407,111228,84293,7413,42326,65845,58.47,63.75,37274,25705
26103,120992,63584,57388,20,59.07,15,15061,11213,,8657,6407,1,3805,3225,2,114975,6017,89689,69148,6737,30135,55804,63.9,68.17,26721,18361
26104,98506,51828,46674,4,58.89,75,12908,9484,1,7390,5038,1,2548,2085,,91153,7353,72375,53934,4933,23063,42498,64.65,69.75,21375,14506
26105,134204,71333,62855,16,53.45,37.5,18106,12757,5,9330,5392,,1565,1154,,127026,7178,96820,71665,6330,30950,55002,60.93,67.37,27993,18849
26106,78849,40799,38040,10,63.07,20,10903,8746,1,6889,5400,,1497,1649,1,72445,6404,58896,44840,3972,19032,36758,67.51,71.65,22636,17249
