charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters
18540,31805,17576,14227,2,85.68,50,4576,3271,,5095,4217,,2445,1974,,30982,823,26607,21794,1867,7018,19261,85.98,86.23,14453,11676
18541,29024,14987,14031,6,90.53,83.33,3687,3061,3,3990,4035,2,2165,2104,,28769,255,23201,18729,2097,6366,16731,90.6,90.66,11629,10172
18542,18020,9195,8823,2,94.17,100,2092,1784,2,2907,2893,,1717,1793,,17929,91,14749,12035,1457,4475,10942,94.22,94.27,6589,6125
18543,28219,14439,13778,2,91.35,100,3362,2982,1,4416,4370,,2445,2308,,28081,138,22925,18713,2190,8474,16836,91.87,92.36,13109,11455
18544,42222,21530,20686,6,86.29,,5764,4787,,5763,5853,,2303,2386,,41765,457,33328,26651,2874,9916,23242,87.07,87.86,14787,12429
18545,48080,25007,23057,16,81.56,75,5496,4494,2,6493,6276,4,2770,2852,5,47868,212,37555,29589,3380,13417,26496,81.89,82.19,15365,13142
18546,50938,26194,24730,14,78.7,28.57,6442,5163,3,6111,6374,1,2444,2473,,47818,3120,39739,31429,3214,15165,27047,79.6,80.48,19427,15547
18547,74882,39909,34943,30,47.12,30,7713,5753,5,3470,2974,1,545,529,,67283,7599,54532,41106,3065,18202,30630,49.73,51.99,15008,10088
18548,74053,37578,36470,5,85.47,80,9693,8439,,9482,9404,,3773,3973,2,71674,2379,57701,46012,5000,15339,39935,86.78,88.05,25808,21367
18549,40210,20568,19631,11,92.69,54.55,4459,3811,1,6327,6206,5,3778,3714,,39434,776,32334,26117,3293,8999,23934,93.63,94.55,15391,13591
18550,43866,22336,21529,1,90.75,100,4843,4127,,6465,6333,,4149,4093,1,43144,722,34700,27743,3538,11759,25180,92.24,93.7,16805,14756
18551,37764,19544,18209,11,86.02,36.36,5323,4246,,5091,5159,3,2082,2182,1,36722,1042,29619,23577,2486,11039,20437,86.66,87.3,13822,11568
18552,40932,21001,19930,1,85.45,,6076,5001,,4986,5129,,1676,1825,,39013,1919,31660,24936,2397,10317,21768,86.5,87.5,15431,12663
18553,44572,23150,21419,3,81.41,100,6497,5250,1,5415,5156,1,1660,1797,,44173,399,34710,27517,2764,10270,23227,82.23,82.97,15694,12424
18554,87411,45433,41939,39,78.06,61.54,10818,8806,12,10691,9792,6,5418,5151,,85766,1645,68486,54561,5429,22449,46682,79.81,81.43,27706,23362
18555,82623,42556,40031,36,83.12,44.44,9706,8142,4,9828,9115,8,6712,6182,1,81834,789,64218,51209,5826,18027,45757,85.16,87.11,20840,18247
18556,58616,30011,28602,3,86.7,33.33,8565,7109,,7058,7001,,2243,2386,1,57686,930,45153,35511,3370,14119,30020,88.32,89.88,18196,14297
18557,146792,77117,69646,29,61.66,55.17,18028,14177,7,10978,10306,5,2775,2810,,132609,14183,109071,84035,7114,34592,64341,63.21,64.59,27418,20210
18558,85203,43579,41609,15,76.63,33.33,8651,7484,1,9551,9106,2,6290,6066,2,83804,1399,65346,51707,5266,23698,45679,78.24,79.81,22857,18145
18559,38223,19975,18242,6,58.3,33.33,4626,3504,1,2947,2551,,785,777,,37916,307,28013,21393,1578,6360,16956,61.94,65.22,5691,4185
18560,48077,25158,22904,15,73.03,33.33,6396,5149,,4723,4895,3,1090,1316,1,44155,3922,36771,28811,2518,13635,23925,72.8,72.63,15381,11719
18561,46765,24889,21862,14,80.47,50,6797,5283,2,5559,5600,3,1563,1780,,46130,635,36734,29194,2698,13244,24597,79.36,78.41,17162,14089
18562,60282,31371,28900,11,66.92,9.09,7947,6177,,5008,4899,,1164,1299,,58669,1613,44793,34200,2812,18389,25768,68.46,69.88,16453,11929
18563,47232,24683,22543,6,83.36,50,6704,5352,1,5389,5639,,1438,1723,,46590,642,36478,28698,2776,12348,24359,82.73,82.18,19273,15026
18564,49845,26464,23375,6,62.22,50,6252,4660,2,3558,3509,,742,890,,48663,1182,36898,28107,2224,13261,20693,62.91,63.51,10958,7858
18565,42417,22995,19418,4,84.62,50,6650,4800,1,5586,4774,1,1392,1788,,41068,1349,33935,26893,2294,13053,22827,84.6,84.6,16433,13062
18566,44451,22457,21976,18,85.81,38.89,5514,4866,4,5977,6038,2,3022,2987,,42352,2099,35253,28279,3362,13587,24433,86.96,88.13,14511,12318
18567,37461,19379,18075,7,84.25,57.14,4017,3343,1,5222,5008,3,3047,2849,,35734,1727,29950,24041,2758,11477,21690,85.15,86,11058,9615
18568,43995,23122,20866,7,86.57,71.43,5866,4572,1,6040,5629,4,3887,3640,,41227,2768,35910,29343,3059,11827,26684,87.63,88.58,15603,13436
18569,18193,9571,8606,16,87.1,75,2410,1969,3,2618,2373,8,1151,1044,1,17620,573,14587,11780,1304,5359,10437,87.42,87.73,5626,4780
18570,31645,17155,14477,13,86.33,61.54,4814,3675,3,4504,4023,2,1573,1379,2,31031,614,25417,20627,2130,10259,16888,85.74,85.29,9478,7579
18601,66660,34556,32098,6,60.68,100,9716,7694,4,4305,3175,1,733,642,,65270,1390,47452,34731,3412,15593,25731,66.55,71.98,19043,12487
18602,76228,41486,34739,3,67.32,67,9065,7192,2,8772,4831,,3579,3288,,69874,6354,57338,44722,3945,18632,37522,71.47,74.81,15180,10708
18603,118367,62108,56249,10,65.67,60,15521,11676,1,8143,6674,3,4589,3994,2,107401,10966,86688,65248,5842,26444,51240,69.55,73.01,25086,15749
18604,78866,41041,37821,4,55.25,,11093,8481,,4658,2857,,797,524,,76512,2354,55126,38840,3509,17621,27276,62.35,68.84,19935,11189
18605,33354,17297,16055,2,82.76,100,4707,3662,,4210,4065,,1973,2152,1,30383,2971,26425,21044,2285,9653,18492,84.48,86.08,11410,9625
18606,28560,14590,13968,2,84.12,100,3766,3064,1,3811,3616,1,1864,1960,,27409,1151,22651,18168,1998,7913,16049,85.85,87.49,11198,9556
18607,16912,8726,8185,1,80.68,,2671,2055,,1947,1695,,1027,922,,13562,3350,13281,10603,1123,5395,9635,84.8,88.57,4213,4100
18608,52795,26913,25879,3,87.51,33.33,8074,6733,,6887,6968,1,2331,2704,,52018,777,41395,33070,3445,15178,29167,88.71,89.88,17892,14801
