longitude,latitude,charge code
74.39201,31.4965,18801
74.37235,31.50298,18802
74.36596,31.49443,18803
74.3563,31.48837,18804
74.40223,31.48505,18805
74.37869,31.48862,18806
74.37465,31.47606,18807
74.36064,31.47779,18808
74.35645,31.46707,18809
74.35486,31.45635,18810
74.40295,31.46485,18811
