longitude,latitude,charge code
74.37758,31.5547,18701
74.3727,31.5426,18702
74.39578,31.53478,18703
74.37048,31.51952,18704
74.40289,31.51447,18705
74.44284,31.51864,18706
74.43869,31.48672,18707
