,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
0,74.379108,31.541521,18702,39303,22571,16725,7,80.25,71.43,5764,4087,3.0,7263,3513,,2258,2028,,34343,4960,31850,26244,2399,13637,24121,84.6,87.64,10742,8896,5777,5598,100,79,5135,5747,5456,5468,5719,5739,6.05
1,74.413505,31.536775,18703,38281,19877,18399,5,91.67,100.0,3421,2943,,5132,4571,2.0,6076,5629,1.0,36834,1447,31937,26584,3460,11508,25386,92.8,93.84,11922,10859,6936,6771,73,92,6410,6914,6495,6701,6902,6917,5.32
2,74.369439,31.528915,18704,37724,20851,16867,6,83.17,33.33,4884,3620,,6157,3534,1.0,3180,2960,,36333,1391,30000,24152,2606,12209,22366,87.18,90.32,10002,8825,6279,6182,46,51,5456,6266,6039,6039,6238,6265,5.64
3,74.382177,31.525469,18705,72643,39399,33236,8,81.73,100.0,8185,7061,2.0,11924,7411,4.0,6095,5127,,70587,2056,57026,45654,4073,20975,42029,85.5,88.59,14040,11978,11503,11041,143,319,10004,11466,10996,10970,11340,11447,5.93
4,74.431399,31.522587,18706,65822,34456,31360,6,62.68,67.0,7592,5953,2.0,4704,3998,,2580,2406,1.0,54725,11097,48777,37458,3389,20833,30819,65.55,68.14,13836,9733,10032,9530,295,207,9833,9894,7974,7989,9779,9895,6.49
5,74.419925,31.49075,18707,70406,37012,33382,12,59.81,8.33,8831,6710,1.0,5100,4095,,1600,1447,,65176,5230,51728,38690,2879,20019,31168,63.67,67.13,13767,9611,10549,9793,479,277,9808,10371,8258,9424,10269,10448,6.63
6,74.373665,31.554919,18701,49438,25528,23905,5,83.15,40.0,6714,5546,1.0,6538,5910,,2834,3086,1.0,44857,4581,39037,31214,3331,15195,27663,84.67,86.1,17719,14851,8191,7691,307,193,5555,8132,7632,7265,8049,7914,5.93
