,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,no. of hh,male voters,female voters
33,74.53633446,31.39441921,1860401,4218,2190,2028,,55.41,,555,468,,233,163,,48,32.0,,3898,320.0,2922,2123,202,1076,1404,60.57,65.35,524,1139,660
34,74.44765,31.35196,1860402,5557,2919,2637,1.0,52.31,,746,567,,284,158,,49,21.0,,5313,244.0,3856,2746,236,1388,1964,57.99,62.87,780,1489,862
35,74.43045147,31.36264187,1860403,8325,4307,4016,2.0,54.6,,1232,841,,487,314,,92,60.0,,8099,226.0,5849,4114,327,1904,2950,64.34,73.36,1150,1848,1048
36,74.56194,31.38837,1860404,7584,3972,3612,,56.92,,1128,838,,574,355,,116,76.0,,7274,310.0,5342,3723,360,1269,2434,64.21,70.8,978,2064,1001
37,74.57815,31.41283,1860405,1685,884,801,,54.93,,250,187,,134,90,,15,20.0,,1677,8.0,1239,891,109,460,527,62.23,68.82,211,489,235
38,74.52841979,31.35498656,1860406,14686,7584,7101,1.0,52.2,,1847,1534,,726,436,,97,75.0,,13915,771.0,10239,7229,643,3063,4961,57.49,62.32,1879,3656,2004
39,74.46512816,31.35654124,1860407,8840,4622,4218,,54.87,,1219,908,,532,335,,89,46.0,,8550,290.0,6153,4340,460,2257,3070,62.2,68.97,1039,2476,1353
40,74.41036406,31.40037942,1860408,7849,4119,3730,,57.45,,1189,860,,488,334,,133,90.0,,7816,33.0,5530,3837,278,1538,2921,65.26,72.34,1055,1745,1094
41,74.47089056,31.37205967,1860409,8198,4218,3980,,53.17,,1153,866,,413,240,,61,46.0,,8095,103.0,5640,3917,375,1990,2818,60.18,66.76,1139,2079,1252
42,74.43669674,31.41319478,1860410,3561,1862,1699,,59.8,,537,435,,234,112,,22,11.0,,3552,9.0,2476,1775,147,759,1244,68.38,76.18,407,832,469
43,74.4251901,31.40906515,1860411,8363,4364,3999,,60.0,,1237,977,,553,320,,75,47.0,,8323,40.0,5880,4145,372,1917,2983,67.91,75.15,911,2118,1211
44,74.36032525,31.56105414,1860502,1884,1000,884,,76.64,,230,154,,214,210,,163,172.0,,1733,151.0,1495,1210,169,613,1071,78.8,80.77,333,810,687
45,74.353191,31.559494,1860501,12643,6399,6242,2.0,85.21,100.0,1763,1459,,1667,1700,,676,750.0,1.0,11647,996.0,9993,7996,833,2953,7079,87.16,89.08,2064,2859,2379
46,74.36067972,31.55423735,1860503,9018,4626,4392,,83.44,,1268,1120,,1159,1125,,416,464.0,,8808,210.0,7065,5676,616,2704,4892,84.22,84.95,1452,4214,3543
47,74.34779764,31.55651897,1860504,9809,5272,4537,,79.95,,1446,929,,1170,1030,,718,766.0,,8195,1614.0,7872,6162,667,3383,5450,82.38,84.46,1655,3527,3016
48,74.3647347,31.55071773,1860601,11465,5811,5654,,88.73,,1545,1258,,1614,1589,,760,881.0,,11062,403.0,9128,7329,798,3322,6487,89.86,90.95,1869,4978,4222
49,74.358662,31.549109,1860602,17095,8779,8314,2.0,80.96,100.0,2221,1806,1.0,2197,2027,1.0,1104,1079.0,,16347,748.0,13523,10839,1200,4591,9562,83.15,85.2,2947,6220,5334
50,74.35504861,31.54519872,1860701,16912,8726,8185,1.0,80.68,,2671,2055,,1947,1695,,1027,922.0,,13562,3350.0,13281,10603,1123,5395,9635,84.8,88.57,2985,4213,4100
51,74.367933,31.554188,1860801,5610,2866,2744,,92.04,,860,729,,857,837,,309,367.0,,5610,,4500,3613,358,1643,3317,93.6,95.12,953,2886,2485
52,74.36896565,31.55112921,1860802,10679,5420,5259,,89.34,,1522,1343,,1470,1452,,520,619.0,,10666,13.0,8381,6669,724,2970,6000,89.87,90.39,1615,4705,3838
53,74.36361321,31.55535801,1860803,14221,7261,6960,,86.3,,2312,1844,,1842,1904,,538,634.0,,14116,105.0,11147,8884,909,4177,7736,87.67,88.99,2209,3945,3145
54,74.37136623,31.5584569,1860804,22285,11366,10916,3.0,86.22,33.33,3380,2817,,2718,2775,1.0,964,1084.0,,21626,659.0,17367,13904,1454,6388,12114,87.55,88.85,3452,6356,5333
55,74.35807833,31.53232687,1860901,8565,4539,4026,,78.74,,1336,957,,1005,759,,487,485.0,,7193,1372.0,6699,5391,493,2752,4810,83.3,87.27,1422,1906,1864
56,74.35930841,31.51264719,1861001,6709,3608,3099,2.0,71.65,100.0,954,679,2.0,676,620,,283,224.0,,6461,248.0,5159,4084,356,2402,3629,74.45,76.81,1104,1948,1634
57,74.35597306,31.51137225,1861002,16329,8913,7413,3.0,84.77,66.67,2009,1508,,2626,1944,2.0,1247,1070.0,,15389,940.0,13176,10700,1133,4364,9742,87.25,89.26,2525,4974,4357
58,74.35241103,31.51074401,1861101,3252,1822,1430,,81.01,,424,226,,421,290,,396,395.0,,3136,116.0,2764,2301,316,1386,2128,83.03,84.56,587,1214,1180
59,74.352767,31.504986,1861102,5367,2930,2437,,85.8,,707,409,,713,632,,640,591.0,,5206,161.0,4421,3649,511,2028,3433,86.04,86.23,891,2038,1941
60,74.356372,31.497263,1861201,22854,12159,10688,7.0,72.33,71.43,3068,2300,2.0,2976,2404,2.0,1074,903.0,,18088,4766.0,17776,14225,1268,4185,12384,76.18,79.51,3750,6483,5330
61,74.35567087,31.50126759,1861202,16726,9310,7408,8.0,71.53,25.0,2392,1693,1.0,2125,1392,1.0,1087,637.0,,15183,1543.0,13143,10605,917,3580,9200,77.33,81.78,2794,3338,2815
