longitude,latitude,circle code
74.5257861,31.6359667,2600101
74.4942752,31.6286946,2600102
74.4961935,31.6006289,2600103
74.4607903,31.5930642,2600104
74.489742,31.594839,2600105
74.54852623,31.60342426,2600106
74.501201,31.589896,2600107
74.552815,31.606462,2600108
74.459151,31.580469,2600109
74.533049,31.601889,2600110
74.5553133,31.6027,2600111
74.5248985,31.5648982,2600201
74.4934526,31.5752937,2600202
74.5404387,31.5290604,2600203
74.563814,31.562051,2600204
74.5182293,31.5487489,2600205
74.5957733,31.5378163,2600206
74.5835044,31.5716917,2600207
74.5226057,31.5775563,2600208
74.6082241,31.5534698,2600209
74.4619565,31.6466043,2600301
74.5198345,31.6690839,2600302
74.4720778,31.6459374,2600303
74.4356027,31.607359,2600304
74.4104477,31.6113641,2600305
74.4598667,31.6738301,2600306
74.4528935,31.6016364,2600307
74.493095,31.679609,2600308
74.3635655,31.5819376,2600401
74.3590293,31.579858,2600402
74.349132,31.5793664,2600403
74.3695274,31.5805433,2600501
74.36576937,31.58312842,2600502
74.36230458,31.58490287,2600601
74.36564698,31.58480135,2600602
74.3572298,31.5860194,2600603
74.35582879,31.58749189,2600604
74.3535568,31.5860654,2600605
74.35141446,31.58560155,2600606
74.3525097,31.5888877,2600607
74.3611611,31.5884532,2600701
74.35829582,31.59074906,2600702
74.3522101,31.5919689,2600703
74.35583021,31.59290715,2600704
74.3675514,31.6048568,2600801
74.36031259,31.60528577,2600802
74.3654975,31.6021204,2600803
74.3595241,31.6003678,2600804
74.36086118,31.59462643,2600805
74.3641647,31.5942254,2600806
74.3619612,31.59113984,2600807
74.3679382,31.5885281,2600808
74.3670823,31.5896805,2600809
74.37143002,31.58965713,2600810
74.37668152,31.58737187,2600811
74.37455119,31.58365601,2600812
74.3728515,31.5829875,2600813
74.369778,31.5834786,2600814
74.3698101,31.5845994,2600815
74.3708783,31.5939189,2600901
74.37438793,31.58803341,2600902
74.37428044,31.59035148,2600903
74.377462,31.5848242,2600904
74.3821163,31.5912202,2600905
74.38450809,31.58790899,2600906
74.3807722,31.5947806,2601001
74.376437,31.5932744,2601002
74.37839565,31.59732188,2601003
74.3780446,31.5945655,2601004
74.37743151,31.6027283,2601005
74.3748163,31.5989675,2601006
74.36969808,31.59772164,2601007
74.37829614,31.58208831,2601101
74.3726159,31.5689891,2601201
74.37652093,31.57071093,2601202
74.3794404,31.5733342,2601203
74.3478564,31.5738847,2601301
74.3504985,31.5730579,2601302
74.3552221,31.5687225,2601303
74.3720395,31.5772322,2601401
74.37695261,31.57822028,2601402
74.3731085,31.5727507,2601403
74.36344265,31.57719612,2601404
74.3667123,31.57727107,2601405
74.34110281,31.56962604,2601501
74.3465085,31.56602685,2601502
74.3457296,31.56459437,2601503
74.34989057,31.56387242,2601504
74.3486054,31.5624125,2601601
74.35894291,31.56143923,2601602
74.38904404,31.56372319,2601701
74.3881193,31.5605899,2601702
74.38255638,31.56767802,2601801
74.38650995,31.56887608,2601802
74.3823123,31.57011012,2601803
74.3837777,31.5732745,2601804
74.38212394,31.56352565,2601901
74.3812825,31.5670404,2601902
74.3868065,31.5660995,2601903
74.385643,31.5816702,2602001
74.38369981,31.57884333,2602002
74.3846843,31.5756977,2602003
74.3897193,31.583279,2602101
74.389447,31.5801869,2602102
74.3927929,31.5756286,2602103
74.38964284,31.57291008,2602104
74.38781877,31.59636344,2602201
74.38489273,31.59968018,2602202
74.39367805,31.59722478,2602203
74.39274478,31.60010778,2602204
74.3955163,31.5992558,2602205
74.3963663,31.60150242,2602206
74.38653208,31.59075067,2602301
74.38930751,31.58846148,2602302
74.39097785,31.59119271,2602303
74.39507983,31.59035916,2602304
74.3953954,31.5946475,2602305
74.3972131,31.5912513,2602401
74.4013762,31.590567,2602402
74.3974232,31.5942418,2602403
74.40075381,31.59726351,2602404
74.41201781,31.59695311,2602501
74.4114465,31.6011175,2602502
74.4016535,31.6073188,2602503
74.35431684,31.6114168,2602504
74.39976917,31.58591748,2602601
74.40667998,31.58571891,2602602
74.40942826,31.58795844,2602603
74.41707449,31.58808537,2602701
74.4227655,31.5854103,2602702
74.4156846,31.5814586,2602703
74.42104284,31.57217011,2602704
74.4251373,31.5751353,2602705
74.4307139,31.5755441,2602706
74.43076,31.5854683,2602707
74.4000614,31.5808293,2602801
74.40404128,31.58131611,2602802
74.4082694,31.5789826,2602803
74.4074162,31.5771082,2602804
74.405836,31.5722322,2602805
74.3953549,31.5772182,2602901
74.4000834,31.5769,2602902
74.40041573,31.57217789,2602903
74.39513991,31.57211993,2602904
74.39485718,31.56972014,2603001
74.3988395,31.5685605,2603002
74.4085563,31.5695915,2603003
74.4127825,31.5721254,2603004
74.41589984,31.57414794,2603005
74.42784936,31.57056767,2603101
74.3983224,31.5625327,2603102
74.40241033,31.56062958,2603103
74.4063395,31.5633685,2603201
74.4201814,31.5619273,2603202
74.4078955,31.5543042,2603203
74.4029073,31.5498808,2603204
74.40324389,31.54798547,2603205
74.4437106,31.5712655,2603301
74.4590093,31.5765265,2603302
74.4265565,31.5615756,2603303
74.4163438,31.5533355,2603304
74.4260857,31.5449047,2603305
74.4185327,31.544257,2603401
74.4068018,31.5453837,2603402
74.4047115,31.5462596,2603403
74.39618993,31.5578653,2603501
74.39471262,31.55430933,2603502
74.3985892,31.5556804,2603503
74.4026831,31.5583093,2603504
74.3999387,31.5576325,2603505
74.3932138,31.560772,2603601
74.3888403,31.5590789,2603602
74.3916913,31.5580699,2603603
74.3897673,31.5564119,2603604
74.3379989,31.5680692,2603701
74.3398145,31.5645398,2603702
74.3457828,31.5628303,2603703
74.3432185,31.5585812,2603704
74.3350089,31.5661978,2603801
74.3290975,31.5673818,2603802
74.3244902,31.5656316,2603803
74.3297282,31.5739133,2603901
74.3295084,31.5704782,2603902
74.327209,31.5749664,2603903
74.3222296,31.5723507,2604001
74.3201787,31.5715294,2604002
74.3202735,31.5749761,2604003
74.3230597,31.5715818,2604004
74.3219915,31.5690465,2604005
