,longitude,latitude,charge code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
25,74.39976917,31.58591748,26026,60065,31622,28421,22,71.84,50.0,8089,6319,4.0,5198,4984,6.0,1397,1756,,55839,4226,45101,35059,2983,17214,27976,73.24,74.5,15038,11587,9192,8778,278,136,7035,9042,7514,7218,9017,9156,6.45
26,74.41707449,31.58808537,26027,94025,48674,45329,22,73.52,40.91,12688,10485,7.0,9092,9182,2.0,2595,2993,,90588,3437,70613,55114,4942,24756,45475,74.31,75.06,26848,20278,14633,14118,313,202,13500,14428,13115,13324,14428,14585,6.29
27,74.4000614,31.5808293,26028,70830,36559,34249,22,82.08,68.18,10290,8373,3.0,8417,8287,8.0,2357,2879,,70377,453,53768,42557,3659,15262,35259,83.08,84.03,15086,11558,11136,10866,135,135,9292,11098,10519,10701,11027,11108,6.32
28,74.3953549,31.5772182,26029,42770,22170,20592,8,77.16,37.5,6345,5096,1.0,4663,4493,,1117,1316,,42485,285,32061,25475,2262,10825,20786,78.46,79.68,11369,8334,7138,6961,76,101,5112,7112,6728,5571,7055,7114,5.99
29,74.39485718,31.56972014,26030,63173,32159,31007,7,87.36,42.86,7639,6528,2.0,8986,8598,,4246,4573,1.0,62750,423,49148,39433,4142,14753,35041,88.53,89.67,16541,13701,10419,10206,93,120,9336,10371,9820,10168,10313,10393,6.04
30,74.42784936,31.57056767,26031,61668,31649,30005,14,84.72,42.86,8544,7025,1.0,8161,7558,4.0,3086,3512,,60603,1065,47406,37774,3821,12591,32559,86.41,88.03,14031,11531,9717,9498,117,102,9586,9661,9097,9136,9644,9683,6.3
31,74.4063395,31.5633685,26032,106813,54654,52127,32,82.54,59.38,14189,12234,3.0,13056,12416,9.0,5296,5464,2.0,105463,1350,81768,64393,6250,24911,56495,84.02,85.45,26420,21205,17143,16764,191,188,11866,17059,15986,16269,16961,17069,6.19
32,74.4437106,31.5712655,26033,123502,64281,59204,17,68.54,76.47,17062,13826,8.0,11158,9824,4.0,3053,3122,,114145,9357,91962,70384,5547,31166,57400,71.25,73.73,20131,14529,19615,18968,365,282,17092,19482,17056,16715,18801,19508,6.2
33,74.4185327,31.544257,26034,59241,32044,27189,8,81.62,12.5,7842,6304,,9673,6514,,3005,2627,,57680,1561,45916,36859,3146,18851,33065,85.0,87.81,11547,9780,9164,8984,63,117,6995,9122,8862,8738,9064,9139,6.06
34,74.39618993,31.5578653,26035,56786,28955,27828,3,79.7,33.33,7843,6531,1.0,6759,6756,,1978,2190,,56421,365,43306,34198,3550,12615,28414,81.58,83.42,17151,13191,9031,8774,152,105,7045,8976,8373,8264,8949,9012,6.27
35,74.3932138,31.560772,26036,35797,18358,17439, ,77.06,,5348,4473,,3724,3892,,814,895,,35733,64,27538,21548,1968,10211,17624,78.43,79.73,12864,9798,5587,5323,148,116,4852,5569,5369,4561,5532,5581,6.35
36,74.3379989,31.5680692,26037,42189,22304,19877,8,85.77,62.5,5698,4342,4.0,6807,5899,,2700,2780,,39629,2560,34016,27492,3065,13427,24575,86.84,87.78,13490,11625,6897,6723,77,97,4971,6874,6460,6510,6820,6878,5.95
37,74.3350089,31.5661978,26038,25835,13649,12176,10,88.75,80.0,3864,2790,1.0,3883,3778,2.0,1418,1529,1.0,25131,704,21043,17138,1778,8181,15495,88.9,89.05,9349,7908,4308,3902,286,120,4161,4299,4019,3915,4147,4257,5.79
38,74.3297282,31.5739133,26039,20058,10762,9291,5,80.08,,2997,2324,,2222,2063,,559,680,,18638,1420,15691,12583,1164,6617,10405,79.66,79.35,6723,5146,3103,2936,117,50,2584,3074,2935,2998,3060,3095,6.32
39,74.3222296,31.5723507,26040,29828,15553,14272,3,85.56,100.0,4481,3605,2.0,4034,4080,1.0,1053,1281,,28876,952,23928,19240,2087,8981,16301,84.95,84.39,10877,8577,4981,4294,547,140,4781,4941,4637,4499,4929,4946,5.92
