,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
23,74.451663,31.513751,1870604,11560,6160,5400,,70.23,,1447,1082,,1014,838,,699,665.0,,9944,1616.0,8836,6941,704,3906,5950,72.07,73.66,2510,1636,1714,1649,28.0,37.0,1681,1701,1368.0,1345,1654,1698,6.46
24,74.430013,31.498992,1870605,8035,4301,3734,,57.59,,934,696,,599,482,,212,188.0,,7269,766.0,5921,4514,323,2520,3556,61.16,64.23,2054,1354,1325,1256,11.0,58.0,1258,1259,922.0,949,1260,1270,6.04
25,74.428444,31.491451,1870606,11932,6141,5789,2.0,42.81,,1282,1005,,480,415,,65,57.0,,7243,4689.0,8543,6299,466,3771,4657,45.67,48.37,2322,1493,1787,1690,78.0,19.0,1769,1777,1152.0,1032,1772,1762,6.68
26,74.419925,31.49075,1870701,14529,7724,6803,2.0,73.86,50.0,1663,1189,1.0,1596,1357,,1024,948.0,,13584,945.0,11190,8815,795,4137,7923,76.85,79.46,3015,2408,2353,2274,37.0,42.0,1998,2316,1970.0,2207,2302,2328,6.1
27,74.441289,31.489436,1870705,12033,6408,5625,,59.54,,1608,1234,,814,655,,153,106.0,,11097,936.0,8716,6396,501,3570,5076,63.35,66.64,2097,1434,1835,1700,59.0,76.0,1754,1792,1052.0,1399,1753,1811,6.48
28,74.423034,31.487988,1870702,11886,6187,5699,,56.47,,1464,1121,,755,573,,121,134.0,,11336,550.0,8593,6358,413,3396,4853,61.15,65.42,1214,847,1688,1591,43.0,54.0,1608,1661,1287.0,1448,1635,1684,7.02
29,74.423959,31.483193,1870703,14032,7325,6697,10.0,57.53,,1676,1386,,1026,838,,145,117.0,,13452,580.0,10204,7626,518,4119,6282,60.59,63.49,3359,2333,2239,1904,296.0,39.0,2168,2211,2148.0,2115,2220,2235,6.25
30,74.425555,31.482475,1870704,17926,9368,8558,,52.11,,2420,1780,,909,672,,157,142.0,,15707,2219.0,13025,9495,652,4797,7034,56.64,60.7,4082,2589,2434,2324,44.0,66.0,2280,2391,1801.0,2255,2359,2390,7.34
31,74.411624,31.492857,1870506,14348,7617,6731,,63.56,,1956,1497,,1431,1141,,337,331.0,,13851,497.0,10827,8400,728,2705,7075,67.17,70.36,3214,2452,2009,1918,52.0,39.0,1384,2001,1980.0,1969,1976,1992,6.92
32,74.406098,31.495838,1870504,25266,12998,12266,2.0,80.87,100.0,3028,2745,1.0,3397,2823,1.0,1748,1581.0,,24819,447.0,19405,15269,1411,6134,13904,84.35,87.66,4885,4138,3972,3741,34.0,197.0,3927,3958,3873.0,3583,3936,3967,6.32
33,74.373665,31.554919,1870101,7977,4139,3836,2.0,71.89,50.0,961,814,1.0,751,678,,313,313.0,,5482,2495.0,6082,4816,428,2539,4148,73.02,74.06,3551,2792,1292,1196,46.0,50.0,644,1263,1031.0,1079,1243,1220,6.12
34,74.373135,31.549827,1870102,4067,2287,1778,2.0,88.52,,814,480,,601,463,,174,190.0,,4019,48.0,3285,2549,234,1148,2138,91.32,93.54,1554,1258,612,556,46.0,10.0,442,606,596.0,468,601,608,6.18
35,74.373695,31.54787,1870103,5040,2527,2513,,87.87,,704,633,,738,731,,263,299.0,,4974,66.0,4021,3162,371,1394,2837,89.98,92.1,1731,1538,859,739,89.0,31.0,851,855,837.0,790,849,857,5.79
36,74.378993,31.54777,1870104,2762,1433,1328,1.0,92.7,100.0,399,378,,464,384,,155,197.0,1.0,2744,18.0,2260,1828,217,881,1625,93.85,94.93,1299,1112,493,428,63.0,2.0,362,486,479.0,487,491,310,5.6
37,74.379434,31.549074,1870105,2251,1143,1108,,90.64,,325,239,,337,355,,104,131.0,,2251,,1814,1473,164,989,1334,90.63,90.62,1123,986,371,343,26.0,2.0,369,370,364.0,357,368,368,5.99
38,74.378934,31.553389,1870106,3596,1931,1665,,89.3,,480,372,,696,488,,225,259.0,,3478,118.0,2942,2442,273,1219,2301,90.89,92.18,1643,1466,572,540,24.0,8.0,533,567,567.0,495,570,570,5.83
39,74.383938,31.555596,1870107,4449,2347,2102,,90.51,,414,343,,823,654,,480,485.0,,4317,132.0,3593,2967,415,1360,2796,92.35,94.01,1691,1509,757,744,7.0,6.0,328,756,718.0,745,755,754,5.67
40,74.389295,31.553289,1870108,11387,5809,5578,,75.04,,1788,1490,,1098,1116,,318,382.0,,10488,899.0,8741,6860,616,3407,5848,76.48,77.85,3108,2425,1906,1848,5.0,53.0,1284,1902,1830.0,1605,1864,1899,5.97
41,74.395005,31.552185,1870109,7909,3912,3997,,86.99,,829,797,,1030,1041,,802,830.0,,7104,805.0,6299,5117,613,2258,4636,88.14,89.34,2019,1765,1329,1297,1.0,31.0,742,1327,1210.0,1239,1308,1328,5.93
