,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,no. of hh,male voters,female voters
31,74.2072872,31.3636223,2610410,4164,2275,1889,,46.77,,431,324,,204,153,,84,59.0,,4049,115.0,3034,2267,247,1053,1799,49.24,51.3,638,857,538
32,74.33124315,31.30626131,2610501,4813,2500,2312,1.0,52.83,100.0,646,510,,345,196,,47,45.0,,4744,69.0,3530,2591,317,1194,1891,60.25,67.08,783,1544,880
33,74.247188,31.270118,2610502,14265,7510,6755,,54.09,,1799,1320,,858,526,,145,129.0,,12709,1556.0,10377,7577,775,2924,5425,60.22,65.68,2108,3596,2555
34,74.260254,31.3117676,2610503,13877,7289,6586,2.0,41.24,,1623,1085,,619,323,,71,22.0,,13295,582.0,9619,7058,628,2295,4317,48.88,55.57,2111,3169,1799
35,74.319624,31.277097,2610504,4261,2219,2042,,47.44,,602,424,,297,163,,50,39.0,,4002,259.0,3104,2363,281,1169,1635,55.96,63.78,591,1365,688
36,74.23565446,31.26103999,2610505,37260,19481,17774,5.0,61.23,60.0,5064,3878,3.0,2868,2185,,558,518.0,,35798,1462.0,26652,19603,1593,7619,15945,66.44,71.14,5440,5782,4133
37,74.236575,31.266185,2610506,3531,2081,1449,1.0,56.24,100.0,799,316,1.0,264,135,,43,26.0,,3418,113.0,2647,2073,158,1366,1705,67.96,75.18,474,747,503
38,74.306707,31.299765,2610507,622,368,253,1.0,41.38,,72,40,,42,13,,10,1.0,,584,38.0,437,337,27,207,225,48.74,53.82,94,94,52
39,74.286563,31.283524,2610508,8775,4613,4161,1.0,50.28,100.0,1207,810,1.0,649,384,,106,94.0,,8366,409.0,6489,4771,588,1510,3419,59.69,68.17,1192,2606,1665
40,74.204973,31.227288,2610509,31836,17475,14357,4.0,48.92,,4066,2636,,2310,900,,301,129.0,,30029,1807.0,23137,17359,1347,8444,14089,58.62,66.3,4218,6118,4404
41,74.167939,31.221008,2610510,14964,7797,7166,1.0,57.04,,2228,1738,,1078,567,,234,151.0,,14081,883.0,10828,7933,616,4222,6351,64.85,71.82,2429,2972,2170
42,74.21757105,31.25185933,2610601,12557,6484,6072,1.0,79.73,100.0,1977,1639,1.0,1733,1355,,489,591.0,,12384,173.0,9679,7568,745,3537,6557,84.13,88.28,2090,4348,3602
43,74.213382,31.249483,2610602,14310,7394,6916,,71.24,,2093,1663,,1468,1306,,320,433.0,,14114,196.0,10744,8254,815,3424,6829,74.25,77.06,2227,3999,3147
44,74.21056958,31.2455347,2610603,23594,12287,11301,6.0,61.26,16.67,3375,2731,,1870,1434,,359,337.0,1.0,22010,1584.0,17534,13345,1050,6043,10852,66.09,70.56,3840,5889,4344
45,74.21321968,31.23974937,2610604,14257,7279,6975,3.0,51.17,,1573,1233,,868,659,,189,164.0,,9974,4283.0,10598,7947,684,2627,6317,56.0,60.63,2305,4019,2985
46,74.2243965,31.2452581,2610605,14131,7355,6776,,54.15,,1885,1480,,950,646,,140,124.0,,13963,168.0,10341,7726,678,3401,6203,59.14,63.7,2321,4381,3171
