,longitude,latitude,circle code,population-all sexes,population-male,population-female,population-transgender,literacy % (10+ years)-female,literacy % (10+ years)-transgender,primary but below matric-male,primary but below matric-female,primary but below matric-transgender,matric but below degree and others-male,matric but below degree and others-female,matric but below degree and others-transgender,degree and above-male,degree and above-female,degree and above-transgender,religion-muslim,religion-nonmuslim,10 years and above,18 years and above,60 years and above,worked (10 years and above),holding cnic (18 years and above),literacy % (10+ years)-all sexes,literacy % (10+ years)-male,male voters,female voters,total hh,pacca,semi-pacca,kacha,pot-able water,electricity,gas,kitchen,bath room,latrine,average household size
22,74.407131,31.489154,1880502,11671,5939,5732,,70.72,,1349,1143,,1053,1009,,522,482.0,,10944,727.0,8787,6872,721,3282,5878,74.1,77.38,3186,2459,1901,1846,41.0,14.0,1858,1886,1777.0,1274,1892,1896,6.13
23,74.400336,31.490987,1880503,12957,6665,6288,4.0,69.04,,1653,1361,,1441,1116,,370,377.0,,12658,299.0,9752,7535,664,3126,6170,73.09,76.92,3552,2511,1941,1883,37.0,21.0,1923,1937,1885.0,1612,1930,1938,6.65
24,74.40026,31.483171,1880504,7839,3966,3871,2.0,91.78,100.0,669,507,,800,949,2.0,1550,1485.0,,7654,185.0,6656,5633,1090,2755,5381,92.79,93.77,3368,3368,1349,1335,1.0,13.0,965,1342,1340.0,1348,1336,1349,5.62
25,74.394596,31.486377,1880505,3306,1613,1693,,91.03,,184,169,,333,391,,715,646.0,,3268,38.0,2736,2312,475,1140,2225,92.21,93.43,748,710,623,619,2.0,2.0,370,622,609.0,620,621,621,5.25
26,74.39235,31.478449,1880506,5778,2971,2807,,89.53,,453,358,,565,632,,1131,1045.0,,5723,55.0,4832,4073,846,1980,3889,89.96,90.38,3064,3076,1037,1016,16.0,5.0,808,1029,1012.0,1034,1033,1033,5.56
27,74.367059,31.484815,1880601,9757,5060,4693,4.0,80.58,50.0,1350,1096,1.0,1330,1153,1.0,578,553.0,,9358,399.0,7604,6083,631,1702,5564,83.9,87.04,3174,2640,1635,1620,5.0,10.0,1626,1623,1531.0,1626,1627,1634,5.95
28,74.370124,31.482022,1880602,16485,8700,7782,3.0,74.97,33.33,2319,1896,1.0,2139,1495,,601,554.0,,15483,1002.0,12529,9904,794,3779,8455,79.75,84.01,2953,2206,2574,2500,18.0,56.0,2178,2559,2506.0,2560,2521,2571,6.33
29,74.368743,31.487016,1880603,6883,3476,3406,1.0,86.11,,903,767,,986,851,,392,464.0,,6736,147.0,5376,4212,409,956,3783,88.67,91.21,1840,1572,1156,1125,8.0,23.0,1065,1154,1040.0,1068,1134,1155,5.84
30,74.372937,31.486056,1880604,11913,6146,5767,,68.38,,1672,1320,,1372,1179,,282,267.0,,10518,1395.0,9008,7072,594,3481,5926,73.2,77.74,1819,1370,1747,1698,31.0,18.0,1648,1742,1668.0,1541,1728,1741,6.81
31,74.370431,31.489633,1880605,7719,3967,3752,,75.14,,970,707,,937,837,,491,505.0,,7022,697.0,6003,4756,479,2455,4150,79.11,82.87,2172,1833,1352,1332,4.0,16.0,1317,1348,1293.0,1228,1343,1351,5.68
32,74.375673,31.487714,1880606,9606,4853,4752,1.0,87.92,100.0,851,734,,1244,1291,,1191,1132.0,1.0,9386,220.0,7803,6426,924,2608,5978,89.04,90.14,2894,2735,1776,1733,24.0,19.0,1025,1771,1642.0,1675,1756,1770,5.39
33,74.37761,31.49402,1880607,7272,3754,3518,,89.19,,483,414,,1062,924,,1310,1231.0,,7103,169.0,6090,5065,802,2102,4859,90.57,91.86,2463,2290,1367,1355,9.0,3.0,815,1361,1347.0,1354,1364,1365,5.01
34,74.384899,31.483333,1880608,4579,2368,2211,,92.41,,385,309,,714,660,,628,581.0,,4485,94.0,3809,3219,583,1720,3059,93.15,93.83,1604,1495,856,849,1.0,6.0,420,849,788.0,852,855,855,5.19
35,74.386874,31.486963,1880609,3157,1639,1517,1.0,88.24,100.0,214,163,1.0,301,314,,670,629.0,,3063,94.0,2696,2325,471,1343,2218,87.95,87.66,1432,1410,595,591,,4.0,171,595,552.0,563,590,595,5.31
36,74.366672,31.468441,1880701,8057,4221,3835,1.0,90.67,100.0,668,501,1.0,836,899,,1514,1393.0,,7915,142.0,6825,5730,1027,3116,5524,90.93,91.17,1178,1186,1517,1502,8.0,7.0,450,1495,1432.0,1491,1510,1507,5.3
37,74.374648,31.473838,1880702,2088,1118,970,,92.81,,178,114,,193,203,,463,414.0,,2025,63.0,1766,1536,310,1043,1490,92.58,92.39,643,664,390,388,2.0,,157,390,379.0,389,390,390,5.32
38,74.373026,31.47917,1880703,5112,2575,2537,,91.15,,340,302,,442,545,,1085,984.0,,5012,100.0,4286,3663,786,1653,3383,92.14,93.11,1979,1999,913,881,29.0,3.0,371,877,901.0,912,911,913,5.43
39,74.382413,31.474424,1880704,9102,4895,4206,1.0,81.76,100.0,937,545,,905,737,1.0,1374,1253.0,,8983,119.0,7472,6130,978,2850,5897,85.08,87.87,2373,2483,1574,1561,,13.0,969,1572,1513.0,1564,1562,1573,5.55
